"collected_at","owner_repo","url","category","status","commit","message","elapsed_seconds"
"2026-08-26T03:06:02-07:00","yyngfive/new-course-system","https://github.com/yyngfive/new-course-system.git","adjacent","cloned","4ca3d9a5ab58d02d84fd58bc89616c2fbfc006a9","","3.1"
"2026-08-26T03:06:06-07:00","WheretoSleepinNJU/NJU-Class-Shedule-Flutter","https://github.com/WheretoSleepinNJU/NJU-Class-Shedule-Flutter.git","adjacent","cloned","bb4d3d16a2368a09e414f88919a53c799b035d50","","3.7"
"2026-08-26T03:06:16-07:00","Mellow-Winds/NJU-Hub","https://github.com/Mellow-Winds/NJU-Hub.git","adjacent","cloned","b3ffc3abbb36d993946183d04019bd827bcaa93c","","9.4"
"2026-08-26T03:06:36-07:00","treehey/AutoCaptcha","https://github.com/treehey/AutoCaptcha.git","adjacent","cloned","c20df009bb9717ef911241ed990c3694a25ab75b","","20.9"
"2026-08-26T03:06:39-07:00","cells114514/JNU-","https://github.com/cells114514/JNU-.git","adjacent","cloned","e1ebcc7502c37d57adb5130c1de02999c02fc49c","","2.8"
"2026-08-26T03:06:43-07:00","RyanShaw3/MyScripts","https://github.com/RyanShaw3/MyScripts.git","adjacent","cloned","8abe47df1adc70dc13389b0cc2ec301d4d3018c6","","4"
"2026-08-26T03:06:46-07:00","YDX-2147483647/BIT-enhanced","https://github.com/YDX-2147483647/BIT-enhanced.git","adjacent","cloned","900d2e6c5cc1cdb2209ca5b1cb8c9bc0ff8a2d90","","3"
"2026-08-26T03:06:52-07:00","Hz162/XJTU-Course-Genius","https://github.com/Hz162/XJTU-Course-Genius.git","adjacent","cloned","faf4235a7f00cb57617297dd0aba1acfc09cc8ad","","5.6"
"2026-08-26T03:06:56-07:00","xjtu-wang/XJTU-Toolbox","https://github.com/xjtu-wang/XJTU-Toolbox.git","adjacent","cloned","2eac98c4dda3ee75b528245db6a559b716e8b43c","","4.4"
"2026-08-26T03:07:03-07:00","Othixx/xjtucourse","https://github.com/Othixx/xjtucourse.git","adjacent","cloned","b164aad4c4161b9fc12af01c853cf68c502ef482","","6.4"
"2026-08-26T03:07:06-07:00","zly2006/xjtu-course","https://github.com/zly2006/xjtu-course.git","adjacent","cloned","32cec94b1a09e85afe62f0e0fbc6d2e872b972e0","","2.8"
"2026-08-26T03:07:09-07:00","zly2006/xjtu-login","https://github.com/zly2006/xjtu-login.git","adjacent","cloned","c749ac9260e8615cb3e7f5ac19086628a8655d99","","3.7"
"2026-08-26T03:07:15-07:00","another-le/xjtu-tools","https://github.com/another-le/xjtu-tools.git","adjacent","cloned","a859bc117ade2e1935b5c213408506b678684832","","5.3"
"2026-08-26T03:07:18-07:00","Bocchi-Hero/xjtu-seat-monitor","https://github.com/Bocchi-Hero/xjtu-seat-monitor.git","adjacent","cloned","506643c2469446cf1bde174c114531fbe2c805a6","","3.2"
"2026-08-26T03:07:21-07:00","KW10-2/Gadgets","https://github.com/KW10-2/Gadgets.git","adjacent","cloned","ca5b9b38fee4c13f1007e3803c1f33bf09830302","","3.4"
"2026-08-26T03:07:25-07:00","jimieguang/qiangke","https://github.com/jimieguang/qiangke.git","adjacent","cloned","fefada31a68a8463a3d669d9a97c4e99799e00f3","","3.6"
"2026-08-26T03:07:40-07:00","Dytchem/Machine-Learning-with-Python","https://github.com/Dytchem/Machine-Learning-with-Python.git","adjacent","cloned","ef1d4eef8016b4e58b58bb10f16716b7dc32e714","","15.1"
"2026-08-26T03:07:44-07:00","lvttt/xdu-course-helper","https://github.com/lvttt/xdu-course-helper.git","adjacent","cloned","c3fa33b35aef82e8f6475f9e5b629182858d2b41","","4"
"2026-08-26T03:07:47-07:00","fe1w0/DailyClock_XDU_version","https://github.com/fe1w0/DailyClock_XDU_version.git","adjacent","cloned","378176dc5d5ed64c773b3210a7253f1680e048ab","","2.8"
"2026-08-26T03:07:52-07:00","HeraldStudio/herald-webservice","https://github.com/HeraldStudio/herald-webservice.git","adjacent","cloned","29180c4ce90a444cf74ae00d3cd561dd17292ed3","","5.1"
"2026-08-26T03:07:55-07:00","KrowFeather/Prism","https://github.com/KrowFeather/Prism.git","adjacent","cloned","c3f3dc3f390b230846117631bfbaebbf4a8b1b9e","","2.9"
