"owner_repo","category","origin","commit","commit_date","file_count","source_bytes","readme","license_file","manifests"
"xzzvsxd/szu_grab_course_for_yjs","01_same_stack","https://github.com/xzzvsxd/szu_grab_course_for_yjs.git","d9e932197ee540a6eaa49f2219cadda84e566141","2025-09-02T23:39:27+08:00","9","54178765","README.md","LICENSE","requirements.txt"
"YHalo-wyh/YNU-xk_spider-Pro","01_same_stack","https://github.com/YHalo-wyh/YNU-xk_spider-Pro.git","90755c4aa18cc7564076511555c619c42b74eed7","2026-07-17T04:33:49+08:00","33","27331453","README.md","LICENSE","requirements.txt"
"another-le/xjtu-tools","02_adjacent","https://github.com/another-le/xjtu-tools.git","a859bc117ade2e1935b5c213408506b678684832","2026-06-20T16:02:39+08:00","17","10885937","README.md","",""
"Bocchi-Hero/xjtu-seat-monitor","02_adjacent","https://github.com/Bocchi-Hero/xjtu-seat-monitor.git","506643c2469446cf1bde174c114531fbe2c805a6","2026-07-31T18:42:46+08:00","37","161158","README.md","LICENSE","requirements.txt"
"BryanHeBY/NJU_NEW_EAS_GRABER","02_adjacent","https://github.com/BryanHeBY/NJU_NEW_EAS_GRABER.git","a106bf6475595476401f4ffa1a714cc72d8a121b","2022-02-24T23:40:02+08:00","4","8463","README.md","",""
"cells114514/JNU-","02_adjacent","https://github.com/cells114514/JNU-.git","e1ebcc7502c37d57adb5130c1de02999c02fc49c","2026-07-02T12:10:28+08:00","8","59778","README.md","",""
"Dytchem/Machine-Learning-with-Python","02_adjacent","https://github.com/Dytchem/Machine-Learning-with-Python.git","ef1d4eef8016b4e58b58bb10f16716b7dc32e714","2025-07-23T22:08:30+08:00","101","40405217","README.md","",""
"fe1w0/DailyClock_XDU_version","02_adjacent","https://github.com/fe1w0/DailyClock_XDU_version.git","378176dc5d5ed64c773b3210a7253f1680e048ab","2023-06-08T15:46:38+08:00","9","20949","README.md","","requirements.txt"
"HeraldStudio/herald-webservice","02_adjacent","https://github.com/HeraldStudio/herald-webservice.git","29180c4ce90a444cf74ae00d3cd561dd17292ed3","2020-05-08T23:11:35+08:00","130","399536","README.md","LICENSE","package.json"
"Hz162/XJTU-Course-Genius","02_adjacent","https://github.com/Hz162/XJTU-Course-Genius.git","faf4235a7f00cb57617297dd0aba1acfc09cc8ad","2026-08-24T18:09:09+08:00","110","37031761","README.md","","backend\go.mod"
"jimieguang/qiangke","02_adjacent","https://github.com/jimieguang/qiangke.git","fefada31a68a8463a3d669d9a97c4e99799e00f3","2023-06-20T18:20:20+08:00","24","385911","README.md","",""
"KrowFeather/Prism","02_adjacent","https://github.com/KrowFeather/Prism.git","c3f3dc3f390b230846117631bfbaebbf4a8b1b9e","2026-01-19T02:27:59+08:00","31","330539","README.md","","package.json"
"KW10-2/Gadgets","02_adjacent","https://github.com/KW10-2/Gadgets.git","ca5b9b38fee4c13f1007e3803c1f33bf09830302","2024-02-27T15:14:55+08:00","4","6964","","LICENSE",""
