"scan_root","category","relative_file","note"
"01_本地证据\sanitized","token","选课失败弹窗\选课失败弹窗_files\indexBS.js","命中字段/代码模式；未保存匹配行或具体值"
"01_本地证据\sanitized","token","选课失败弹窗\选课失败弹窗_files\selectedcourseBS.js","命中字段/代码模式；未保存匹配行或具体值"
"01_本地证据\sanitized","token","选课失败弹窗\选课失败弹窗_files\sidebar.js","命中字段/代码模式；未保存匹配行或具体值"
"01_本地证据\sanitized","token","选课失败弹窗\选课失败弹窗_files\xsxkpub.js","命中字段/代码模式；未保存匹配行或具体值"
"01_本地证据\sanitized","token","选课失败弹窗\选课失败弹窗.html","命中字段/代码模式；未保存匹配行或具体值"
"02_公开资料\gist_greasyfork","password","niknul_xk_helper_raw.txt","命中字段/代码模式；未保存匹配行或具体值"
"02_公开资料\gist_greasyfork","secret","greasy_seu_official_source.html","命中字段/代码模式；未保存匹配行或具体值"
"02_公开资料\gist_greasyfork","secret","greasy_seu_ultimate_source.html","命中字段/代码模式；未保存匹配行或具体值"
"02_公开资料\gist_greasyfork","secret","greasy_seu_upgrade_source.html","命中字段/代码模式；未保存匹配行或具体值"
"02_公开资料\gist_greasyfork","token","greasy_seu_official_source.html","命中字段/代码模式；未保存匹配行或具体值"
"02_公开资料\gist_greasyfork","token","greasy_seu_ultimate_source.html","命中字段/代码模式；未保存匹配行或具体值"
"02_公开资料\gist_greasyfork","token","greasy_seu_upgrade_source.html","命中字段/代码模式；未保存匹配行或具体值"
"03_仓库源码","cookie","00_nnu_direct\guh0613__ehall-backend\services\cas_auth_service.py","命中字段/代码模式；未保存匹配行或具体值"
"03_仓库源码","cookie","00_nnu_direct\guh0613__ehall-backend\services\course_table_service.py","命中字段/代码模式；未保存匹配行或具体值"
"03_仓库源码","cookie","00_nnu_direct\guh0613__ehall-backend\services\score_rank_service.py","命中字段/代码模式；未保存匹配行或具体值"
"03_仓库源码","cookie","00_nnu_direct\guh0613__ehall-backend\services\user_info_service.py","命中字段/代码模式；未保存匹配行或具体值"
"03_仓库源码","cookie","00_nnu_direct\guh0613__ehall-backend\services\user_score_service.py","命中字段/代码模式；未保存匹配行或具体值"
"03_仓库源码","cookie","00_nnu_direct\guh0613__ehall-backend\utils\cas_cache_utils.py","命中字段/代码模式；未保存匹配行或具体值"
"03_仓库源码","cookie","00_nnu_direct\imcuttle__njnu-quick-get-score\headers\stuckcj.txt","命中字段/代码模式；未保存匹配行或具体值"
"03_仓库源码","cookie","00_nnu_direct\imcuttle__njnu-quick-get-score\index.js","命中字段/代码模式；未保存匹配行或具体值"
"03_仓库源码","cookie","00_nnu_direct\imcuttle__njnu-quick-get-score\server\ranNumber.js","命中字段/代码模式；未保存匹配行或具体值"
